RED_BULL,M.VERSTAPPEN,233,27.4
RED_BULL,S.PEREZ,205,18.4
ASTON_MARTIN,F.ALONSO,137,9.2
MERCEDES,L.HAMILTON,107,23.8
FERRARI,C.SAINZ,80,17.2
MERCEDES,G.RUSSELL,80,18.6
ASTON_MARTIN,L.STROLL,54,7.7
ALPINE,P.GASLY,54,8.1
FERRARI,C.LECLERC,46,21.2
HAAS,K.MAGNUSSEN,41,6.5
ALPHA_TAURI,Y.TSUNODA,27,4.7
ALFA_ROMEO,Z.GUANYU,27,4.7
MCLAREN,L.NORRIS,26,11.0
ALFA_ROMEO,V.BOTTAS,24,7.5
HAAS,N.HULKENBERG,17,3.9
MCLAREN,O.PIASTRI,15,6.7
ALPINE,E.OCON,7,9.2
ALPHA_TAURI,N.DEVRIES,3,4.7
WILLIAMS,L.SARGEANT,-1,3.6
WILLIAMS,A.ALBON,-18,5.1
